,sample_id,tADS,PL,v0,t_press,t_depress,CO2_purity,CO2_recovery,n_CO2_feed,n_CO2_product,n_N2_product,n_cycles,status
22,23,106.93687483722636,0.4614316157989134,0.0205456768071088,39.9023054174838,45.62185618043113,0.3296979416603636,0.3541032923676633,0.0607563790433685,0.0215140338515944,0.0437397367459697,10,ok
23,24,88.52458230264679,0.2195565750811593,0.0223744509853503,59.08641680251751,27.8938149569538,0.4481323547343739,0.4042088598000161,0.0547722039437425,0.0221394101048341,0.0272643204469512,10,ok
24,25,140.82725448776063,0.320393173254672,0.0195593466189446,54.92431317602326,50.82906717898274,0.3875647547398971,0.3892437575083187,0.0761701828859473,0.0296487681966219,0.0468513981214424,10,ok
25,26,59.86550174441901,0.2876889680899965,0.0387107071762768,38.426148816774656,35.79315924368616,0.3800026056437082,0.5392886555485109,0.0640843044063738,0.0345599383650748,0.0563866442419885,10,ok
26,27,98.96770298033118,0.2903954666533596,0.0209257759920817,55.48344505059722,23.764315788864025,0.402952130952142,0.3090785748882244,0.0572689215940955,0.0177005966716885,0.0262266971978425,10,ok
27,28,95.66497405483622,0.3708986957364295,0.0488772165963475,41.93340698259652,24.44761578702076,0.3851433299863782,0.3178058583680992,0.129301441635991,0.0410927556473588,0.0656019536932188,10,ok
29,30,91.97483996965845,0.4461996765708655,0.0427397635371692,16.23421165502629,18.89404764405427,0.3406663524578467,0.2444323289919245,0.1087038932379566,0.0265707457946432,0.0514256445237433,10,ok
31,32,145.7935261348403,0.4524385197325781,0.0143055693560026,43.16420577324164,33.4729322171587,0.3351561906360936,0.2543109050814481,0.0576749636970008,0.0146673722183239,0.0290954244362349,10,ok
32,33,154.75633911174265,0.2950329760208385,0.01644684142636,37.801591464908114,52.16558792224476,0.402725846514622,0.3848777080541972,0.0703841540991033,0.0270892919129963,0.0401755537566812,10,ok
33,34,93.79871176167424,0.3085993269549801,0.0493083035005271,18.219125804577285,47.42131830900247,0.3997707151722512,0.5194909680618851,0.1278971529542339,0.0664414158005539,0.0997573908627255,10,ok
34,35,82.22736563090115,0.2840418088631246,0.0419205927243437,17.63544661060855,44.10746626094647,0.4034426796505139,0.5426408040593504,0.0953208121750053,0.0517249621622352,0.076483987389266,10,ok
35,36,121.63698140148152,0.3005189897948619,0.039862507615731,47.55248503602432,16.496404228732505,0.4295108420838798,0.2594615679276966,0.1340831461992501,0.034789423345536,0.0462083535132421,10,ok
36,37,76.89371458708939,0.4927734314483329,0.0253505437893923,24.973688086916237,44.84883108392469,0.3127142441950281,0.4126668975875768,0.0539041328294634,0.0222444512618833,0.0488890249861967,10,ok
37,38,124.25750160738345,0.4118093214720162,0.0249917478256498,39.01497377321968,15.853648559447848,0.3599605587723125,0.2068468665880969,0.0858742960531993,0.0177628290590628,0.031583769133931,10,ok
38,39,91.2403181224027,0.3893274319902972,0.0174631453140162,30.961197120385684,30.28189853504815,0.3654214552196765,0.3336710706205018,0.0440608835160327,0.0147018421752798,0.0255307220742432,10,ok
39,40,144.95425267630168,0.414237714707821,0.0130289722056135,57.179586076347206,25.26658729940305,0.3558148650017367,0.2325116165455484,0.0522257952288197,0.0121431040740296,0.0219844866155003,10,ok
40,41,104.39782102791044,0.3727881276597031,0.015439837376609,35.80965035432507,56.36345715640621,0.3619220305364699,0.4676983357667945,0.0445736397494738,0.0208470171298975,0.036753834354596,10,ok
41,42,73.78514739048106,0.3546655941269805,0.0388792816908851,15.591252016410897,47.91219241723734,0.3479681435911526,0.5241717283684695,0.0793288437782934,0.0415819371527403,0.0779173271293294,10,ok
42,43,87.603776793619,0.2617981483745625,0.0238211972261011,38.29330635856779,28.479907242684515,0.4169140288863057,0.3843306735772485,0.0577072471784268,0.0221786651783735,0.0310185496949637,10,ok
43,44,136.79717624839287,0.3986979222258993,0.0446792483135914,54.0426446534328,28.73072942893505,0.369007567605614,0.2624687647896692,0.1690156552581585,0.0443613302657254,0.0758566114788669,10,ok
44,45,130.33766067042637,0.3593176922112523,0.0479404524399047,28.701710525964454,30.34635120785857,0.3885857420714289,0.3137464710993854,0.1727889609485713,0.0542119267425437,0.0852989221464478,10,ok
45,46,49.34327716633234,0.4424497062902717,0.0443088433596417,28.11371814985595,57.91269123538764,0.3248507573624408,0.751980943449567,0.0604591930224593,0.0454641610092284,0.0944898331829519,10,ok
46,47,155.63417513266407,0.3448593386806461,0.0372115998012817,53.46487764313248,31.31072997517722,0.397925465274753,0.297583817247768,0.1601501141690728,0.0476580823070985,0.0721082721135525,10,ok
47,48,41.72665412770246,0.3794130827468389,0.0103784108251269,18.870378183575287,26.154415426303203,0.3196546002496256,0.4332794263023243,0.0119753540682132,0.0051886745404426,0.0110434539394562,10,ok
