sample_id,cycle,purity,recovery,productivity,energy_proxy,q_avg,q_final_avg,outlet_ads_final,outlet_dep_final,outlet_des_avg,outlet_rep_final,P_ads,P_des,t_ads,t_des,t_purge,u,qmax,b,k_LDF,L,eps,t_repress
1,1,0.11998673655954596,0.9979349804560057,0.05949220558269319,26.223821745769108,0.30291884646745953,0.30291884646745953,0.007121665544288355,0.20231546364366743,0.11998673655954596,1.5474913477855639e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
1,2,0.12168041125965244,0.9655756195652928,0.060329067058294765,26.223821745769108,0.3029188464675174,0.3029188464675174,0.07693961392552756,0.24400090012966152,0.12168041125965244,1.5475093855099025e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
1,3,0.12168041125965244,0.9655756195652682,0.060329067058294765,26.223821745769108,0.3029188464675174,0.3029188464675174,0.0769396139255277,0.24400090012966152,0.12168041125965244,1.5475093855099025e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
1,4,0.12168041125965244,0.9655756195652682,0.060329067058294765,26.223821745769108,0.3029188464675174,0.3029188464675174,0.0769396139255277,0.24400090012966152,0.12168041125965244,1.5475093855099025e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
1,5,0.12168041125965244,0.9655756195652682,0.060329067058294765,26.223821745769108,0.3029188464675174,0.3029188464675174,0.0769396139255277,0.24400090012966152,0.12168041125965244,1.5475093855099025e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
1,6,0.12168041125965244,0.9655756195652682,0.060329067058294765,26.223821745769108,0.3029188464675174,0.3029188464675174,0.0769396139255277,0.24400090012966152,0.12168041125965244,1.5475093855099025e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
1,7,0.12168041125965244,0.9655756195652682,0.060329067058294765,26.223821745769108,0.3029188464675174,0.3029188464675174,0.0769396139255277,0.24400090012966152,0.12168041125965244,1.5475093855099025e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
1,8,0.12168041125965244,0.9655756195652682,0.060329067058294765,26.223821745769108,0.3029188464675174,0.3029188464675174,0.0769396139255277,0.24400090012966152,0.12168041125965244,1.5475093855099025e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
1,9,0.12168041125965244,0.9655756195652682,0.060329067058294765,26.223821745769108,0.3029188464675174,0.3029188464675174,0.0769396139255277,0.24400090012966152,0.12168041125965244,1.5475093855099025e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
1,10,0.12168041125965244,0.9655756195652682,0.060329067058294765,26.223821745769108,0.3029188464675174,0.3029188464675174,0.0769396139255277,0.24400090012966152,0.12168041125965244,1.5475093855099025e-09,7.293562637086643,0.2928306548223555,152.64038353615064,93.41447435059908,76.51524038690111,0.11493169094287221,4.569554411920386,1.2427811640313997,0.18896939546118402,1.1232442109315666,0.48525840395153486,20.0
2,1,0.13832253702185515,0.9513710956776019,0.06267927183873616,9.956342499402808,0.06822139476506259,0.06822139476506259,0.0595937358021431,0.17413638035044024,0.13832253702185515,4.906091058706919e-06,5.7843941006690835,0.6613832813592337,173.10130525743958,81.94619586199354,78.19548515039371,0.04007903977687942,2.157447309755833,0.4882407947640965,0.1682630040815803,1.4786286838987195,0.4952909480637403,20.0
2,2,0.14140483335462492,0.8914081432399373,0.06407415570211439,9.956342499402808,0.068221394825768,0.068221394825768,0.1017625756033909,0.20360059283983442,0.14140483335462492,4.906197088170358e-06,5.7843941006690835,0.6613832813592337,173.10130525743958,81.94619586199354,78.19548515039371,0.04007903977687942,2.157447309755833,0.4882407947640965,0.1682630040815803,1.4786286838987195,0.4952909480637403,20.0
2,3,0.14140483335462506,0.891408143158708,0.06407415570211446,9.956342499402808,0.068221394825768,0.068221394825768,0.10176257560340586,0.20360059283983703,0.14140483335462506,4.906197088170358e-06,5.7843941006690835,0.6613832813592337,173.10130525743958,81.94619586199354,78.19548515039371,0.04007903977687942,2.157447309755833,0.4882407947640965,0.1682630040815803,1.4786286838987195,0.4952909480637403,20.0
2,4,0.14140483335462506,0.891408143158708,0.06407415570211446,9.956342499402808,0.068221394825768,0.068221394825768,0.10176257560340586,0.20360059283983703,0.14140483335462506,4.906197088170358e-06,5.7843941006690835,0.6613832813592337,173.10130525743958,81.94619586199354,78.19548515039371,0.04007903977687942,2.157447309755833,0.4882407947640965,0.1682630040815803,1.4786286838987195,0.4952909480637403,20.0
2,5,0.14140483335462506,0.891408143158708,0.06407415570211446,9.956342499402808,0.068221394825768,0.068221394825768,0.10176257560340586,0.20360059283983703,0.14140483335462506,4.906197088170358e-06,5.7843941006690835,0.6613832813592337,173.10130525743958,81.94619586199354,78.19548515039371,0.04007903977687942,2.157447309755833,0.4882407947640965,0.1682630040815803,1.4786286838987195,0.4952909480637403,20.0
2,6,0.14140483335462506,0.891408143158708,0.06407415570211446,9.956342499402808,0.068221394825768,0.068221394825768,0.10176257560340586,0.20360059283983703,0.14140483335462506,4.906197088170358e-06,5.7843941006690835,0.6613832813592337,173.10130525743958,81.94619586199354,78.19548515039371,0.04007903977687942,2.157447309755833,0.4882407947640965,0.1682630040815803,1.4786286838987195,0.4952909480637403,20.0
2,7,0.14140483335462506,0.891408143158708,0.06407415570211446,9.956342499402808,0.068221394825768,0.068221394825768,0.10176257560340586,0.20360059283983703,0.14140483335462506,4.906197088170358e-06,5.7843941006690835,0.6613832813592337,173.10130525743958,81.94619586199354,78.19548515039371,0.04007903977687942,2.157447309755833,0.4882407947640965,0.1682630040815803,1.4786286838987195,0.4952909480637403,20.0
